PLAYER_ID,SEASON,RS_MEDIAN_SHOT_DISTANCE,PO_MEDIAN_SHOT_DISTANCE,SHOT_DISTANCE_DELTA,RS_SPATIAL_VARIANCE,PO_SPATIAL_VARIANCE,SPATIAL_VARIANCE_DELTA,PO_EFG_BEYOND_RS_MEDIAN,RS_SHOTS,PO_SHOTS
1628988,2019-20,15.0,11.0,-4.0,143.818412623854,160.08585494159362,16.267442317739636,0.6,632,21
201143,2019-20,17.0,4.0,-13.0,142.06945055741235,105.76617291617076,-36.30327764124159,0.0,709,25
202692,2019-20,16.0,14.0,-2.0,147.1412978940009,147.24470585172338,0.10340795772248157,0.2619047619047619,768,49
1629014,2019-20,18.0,22.5,4.5,151.27736880492802,160.34212460572212,9.064755800794103,0.625,579,26
203076,2019-20,8.0,11.0,3.0,123.9854368611275,127.67245629434937,3.6870194332218773,0.5050251256281407,1096,359
203085,2019-20,22.0,22.0,0.0,161.84563286738234,171.1497395070566,9.304106639674274,0.4,501,61
1628389,2019-20,3.0,4.0,1.0,71.75042286343437,70.8779121802786,-0.8725106831557667,0.45614035087719296,790,220
203463,2019-20,24.0,23.5,-0.5,197.45315603005116,213.11640613547934,15.663250105428176,0.4411764705882353,545,40
201572,2019-20,15.0,12.5,-2.5,153.91253965259907,160.4298267536888,6.517287101089721,0.5625,671,114
203468,2019-20,16.0,15.0,-1.0,141.8263837956776,142.9552621194321,1.128878323754492,0.5232558139534884,1356,99
2546,2019-20,14.0,17.0,3.0,144.55578421741922,151.81767720361592,7.261892986196699,0.4772727272727273,782,68
101108,2019-20,16.0,18.0,2.0,139.48803064769345,140.8277675139392,1.3397368662457438,0.5645161290322581,887,112
201571,2019-20,16.0,16.0,0.0,152.65420705634148,144.06235230849526,-8.591854747846213,0.6086956521739131,461,46
203081,2019-20,22.0,24.5,2.5,156.57151993567973,153.69229947094507,-2.879220464734658,0.5909090909090909,1349,64
1628464,2019-20,3.0,2.0,-1.0,118.86387690002354,118.10836013286439,-0.7555167671591505,0.32075471698113206,426,117
201568,2019-20,23.0,22.0,-1.0,159.72117585081787,166.03154383294006,6.310367982122187,0.5625,817,79
201980,2019-20,23.0,23.0,0.0,188.50791338840358,188.820626598075,0.3127132096714149,0.48214285714285715,474,170
1627863,2019-20,23.0,22.0,-1.0,183.9175375925535,186.63411455863806,2.716576966084574,0.5192307692307693,539,85
1626153,2019-20,5.0,3.5,-1.5,136.43821984528338,103.94795706399323,-32.490262781290156,0.5,411,10
203471,2019-20,15.0,14.0,-1.0,140.00984325375794,144.83423920729177,4.824395953533838,0.4056603773584906,965,109
1627884,2019-20,3.0,22.0,19.0,156.18768699173847,190.9322716382466,34.744584646508116,0.5454545454545454,349,17
1628378,2019-20,13.0,16.0,3.0,137.2774171861567,138.75101069589647,1.4735935097397714,0.6453488372093024,1342,157
1628978,2019-20,19.0,3.0,-16.0,156.60734839134574,153.21959891017886,-3.3877494811668782,0.5,510,51
1627827,2019-20,22.0,23.0,1.0,175.5608375582714,171.03918693995226,-4.521650618319143,0.5689655172413793,522,52
1629130,2019-20,25.0,25.0,0.0,185.85362619061667,188.46822624833825,2.6146000577215887,0.5238095238095238,778,176
202339,2019-20,8.0,11.0,3.0,130.89774316822638,130.13322932398904,-0.7645138442373423,0.35714285714285715,703,98
203095,2019-20,20.0,24.0,4.0,144.2827927929978,146.6723412549996,2.389548462001784,0.5277777777777778,929,57
1627832,2019-20,20.0,24.0,4.0,154.927228147571,165.77662674495866,10.849398597387676,0.5707964601769911,773,190
202066,2019-20,23.0,23.0,0.0,178.02124153147162,200.96095248024855,22.939710948776934,0.39473684210526316,587,49
203914,2019-20,14.0,22.5,8.5,150.21314465169377,177.66010345474461,27.446958803050848,0.525,519,90
1629018,2019-20,23.0,23.0,0.0,170.50197511018467,171.17431306871208,0.6723379585274074,0.5625,528,45
201588,2019-20,18.0,13.0,-5.0,154.59774878399108,162.71210976708997,8.11436098309889,0.5161290322580645,376,67
203507,2019-20,3.0,2.0,-1.0,116.1022403175373,118.8346775569409,2.732437239403609,0.45,1238,161
201609,2019-20,18.0,14.0,-4.0,150.27604369896272,145.3010519716356,-4.9749917273271365,0.5136363636363637,724,268
202330,2019-20,13.0,18.0,5.0,137.42487168133695,157.84849491502533,20.423623233688375,0.46774193548387094,700,50
202355,2019-20,2.0,2.5,0.5,66.13641400135725,80.4126472675767,14.27623326621945,0.375,702,24
203210,2019-20,24.0,4.0,-20.0,174.3921523188588,153.67705216992016,-20.71510014893863,0.6818181818181818,352,55
203109,2019-20,24.0,25.0,1.0,174.9272174349406,184.15364340167005,9.226425966729465,0.5048076923076923,563,201
1627750,2019-20,16.0,16.5,0.5,138.96132496232045,145.58303562814535,6.6217106658249065,0.625,894,368
